Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hand_base_link,-0.00161046540703813,5.39231302579387E-05,0.0560943804884023,0,0,0,0.114844256740337,0.000157741930579527,-1.16564183226397E-07,3.43324969543446E-06,8.54118913647782E-05,3.26212690752232E-06,8.6563542843708E-05,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/hand_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/hand_base_link.STL,,hand_base_link-2,hand_base_link-zb,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_metacarpals_base1,0.0128313740207018,0.000678738882395103,-6.35819005504745E-05,0,0,0,0.00393646023590197,5.66341789910244E-07,-2.9983411196748E-08,-8.53073936132261E-10,2.92952202949426E-07,-1.91258689248169E-08,6.19997558364507E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_metacarpals_base1.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_metacarpals_base1.STL,,thumb_metacarpals_base1-1,thumb_metacarpals_base1-zb,thumb_metacarpals_base1-z,thumb_cmc_roll,revolute,-0.0075211,-0.022278,0.04025,0,0,0,hand_base_link,-1,0,0,100,1,0,1,,,,,,,,
thumb_metacarpals_base2,0.0058163964840658,-0.00635112672429271,0.00301818029633513,0,0,0,0.00171679371228901,1.18470417835418E-07,4.21491774967571E-08,-1.05146545577021E-08,1.14930696459633E-07,1.74179531150921E-08,9.67476258420216E-08,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_metacarpals_base2.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_metacarpals_base2.STL,,thumb_metacarpals_base2-1,thumb_metacarpals_base2-zb,thumb_metacarpals_base2-z,thumb_cmc_yaw,revolute,0.035071,-0.0033014,0,0,0,0,thumb_metacarpals_base1,0,0,1,100,1,0,1,,,,,,,,
thumb_metacarpals,0.0038585,-0.00018025,0.026273,0,0,0,0.017091,6.6313E-06,8.9032E-09,-3.4033E-07,8.0389E-06,-1.3648E-08,1.8308E-06,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_metacarpals.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_metacarpals.STL,,thumb_metacarpals-1,thumb_metacarpals-zb,thumb_metacarpals-z,thumb_cmc_pitch,revolute,0.01613,-0.016305,0.0068611,0,-0.92529,2.3508,thumb_metacarpals_base2,0,-1,0,100,1,0,1,,,,,,,,
thumb_proximal,-0.00245650869112198,0.00186600341761619,0.013443158548372,0,0,0,0.00522967384448073,4.4882364883548E-07,-9.70033971351608E-10,-7.97636981715347E-08,6.21157859198411E-07,-3.64690905670397E-09,2.25091891426767E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_proximal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_proximal.STL,,thumb_proximal-1,thumb_proximal-zb,thumb_proximal-z,thumb_mcp,revolute,0.0081645,-0.00155,0.055634,0,0,0,thumb_metacarpals,0,-1,0,100,1,0,1,,,,,,,,
thumb_distal,0.000307410958653317,2.07011111937551E-05,0.00928986767954124,0,0,0,0.00521800678366716,3.57694191306713E-07,-7.42469621090903E-11,7.81638833861074E-08,3.45473369597084E-07,3.05956318690256E-10,2.66044552225899E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_distal.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_distal.STL,,thumb_distal-1,thumb_distal-zb,thumb_distal-z,thumb_ip,revolute,-0.0015545,0.0015,0.034528,0,0,0,thumb_proximal,0,-1,0,100,1,0,1,,,,,,,,
thumb_Virtual_Point,-0.000184328758149471,-4.99935356591656E-05,-3.91589699965667E-05,0,0,0,5.23598775598299E-07,5.23598775598299E-14,5.93366978803555E-31,-1.57772181044202E-30,5.23598775598299E-14,-2.50003687143053E-30,5.23598775598299E-14,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_Virtual_Point.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/thumb_Virtual_Point.STL,,thumb_Virtual_Point-1,thumb_Virtual_Point-zb,,thumb_Virtual_Point-none,fixed,-0.00661,5E-05,0.031568,0,0,0,thumb_distal,0,0,0,,,,,,,,,,,,
index_metacarpals,0.00151344006390744,-5.44751780837127E-09,0.00199999391249993,0,0,0,0.00107972492721203,3.54851849057179E-08,-9.75920143282609E-16,-2.88674570648891E-09,2.11264180975032E-08,-1.69297340759031E-14,3.63609571557396E-08,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_metacarpals.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_metacarpals.STL,,index_metacarpals-1,index_metacarpals-zb,index_metacarpals-z,index_mcp_roll,revolute,-0.0071994,-0.030778,0.11945,0,0,0,hand_base_link,0.99992,0,-0.012887,100,1,0,1,,,,,,,,
index_proximal,-0.00115064868057897,-2.08320532571957E-05,0.0212647838486794,0,0,0,0.00477960256059446,5.44834008350545E-07,-9.03598899419747E-11,1.65895348406321E-08,5.41641327287791E-07,-2.50114390616641E-10,1.75595647730841E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_proximal.STL,,index_proximal-1,index_proximal-zb,index_proximal-z,index_mcp_pitch,revolute,0.0073692,0,-9.4985E-05,0,0,0,index_metacarpals,0,1,0,100,1,0,1,,,,,,,,
index_middle,0.000582799122903887,-1.66622418459189E-05,0.013441904734998,0,0,0,0.00270775197321639,2.25567814590075E-07,4.76662842477137E-12,5.19478039422153E-09,1.61875482546986E-07,-8.95325679002794E-12,1.17900381226969E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_middle.STL,0,0,0,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_middle.STL,,index_middle-1,index_middle-zb,index_middle-z,index_pip,revolute,-0.0030528,0,0.039907,0,0,0,index_proximal,0,1,0,100,1,0,1,,,,,,,,
index_distal,-0.0072164006985974,-3.10530305492884E-05,0.00510324461394016,0,0,0,0.00258259740989255,1.30227875511426E-07,1.19682427438751E-10,4.12783030352628E-08,1.36472670574212E-07,-3.14459227086956E-10,1.01017145947709E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_distal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_distal.STL,,index_distal-1,index_distal-zb,index_distal-z,index_dip,revolute,0.0053069,0,0.026592,0,0,0,index_middle,0,1,0,100,1,0,1,,,,,,,,
index_Virtual_Point,0,-3.46944695195361E-18,0,0,0,0,5.23598775598299E-07,5.23598775598299E-14,-7.12872725499097E-37,2.39853897268964E-36,5.23598775598299E-14,-1.15642107493289E-30,5.23598775598299E-14,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_Virtual_Point.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/index_Virtual_Point.STL,,index_Virtual_Point-1,index_Virtual_Point-zb,Axis_index_Virtual_Point-none,index_Virtual_Point-none,fixed,-0.0152816222742688,0,0.0240371760926346,0,0,0,index_distal,0,0,0,,,,,,,,,,,,
middle_metacarpals,0.001513443142004,-5.44751168826685E-09,0.00199999158336196,0,0,0,0.00107972492722234,3.54851760205572E-08,-9.75922605133098E-16,-2.88674435859045E-09,2.11264180975021E-08,-1.69297007027046E-14,3.63609660418816E-08,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_metacarpals.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_metacarpals.STL,,middle_metacarpals-1,middle_metacarpals-zb,middle_metacarpals-z,middle_mcp_roll,revolute,-0.0071994,-0.0066607,0.11946,0,0,0,hand_base_link,0.99992,0,-0.012888,100,1,0,1,,,,,,,,
middle_proximal,-0.00165985154195069,2.4557677021325E-05,0.023622093663244,0,0,0,0.00551224266379775,7.79066394729381E-07,-4.64147961377332E-12,3.22743739771861E-08,7.60603535724366E-07,-5.92496477681943E-10,2.05879595330157E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_proximal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_proximal.STL,,middle_proximal-1,middle_proximal-zb,middle_proximal-z,middle_mcp_pitch,revolute,0.0073692,0,-9.4996E-05,0,0,0,middle_metacarpals,0,1,0,100,1,0,1,,,,,,,,
middle_middle,-0.000230369763452722,2.88460421738763E-05,0.0161975684445981,0,0,0,0.00314204671441198,3.20092568330847E-07,-3.58688697052903E-11,1.53073399206161E-08,2.47015871367737E-07,2.74053237627201E-11,1.35843044383385E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_middle.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_middle.STL,,middle_middle-1,middle_middle-zb,middle_middle-z,middle_pip,revolute,-0.004144,0,0.044828,0,0,0,middle_proximal,0,1,0,100,1,0,1,,,,,,,,
middle_distal,-0.00724758425654952,-3.1052730819243E-05,0.00505888968194335,0,0,0,0.00258260265037946,1.29720817921799E-07,1.21614678951735E-10,4.1454663430862E-08,1.36473264398442E-07,-3.13727137759971E-10,1.01524943088101E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_distal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_distal.STL,,middle_distal-2,middle_distal-zb,middle_distal-z,middle_dip,revolute,0.0036295,0,0.031612,0,0,0,middle_middle,0,1,0,100,1,0,1,,,,,,,,
middle_Virtual_Point,-6.24500451351651E-17,6.64399091299117E-16,-5.55111512312578E-17,0,0,0,5.23598775598299E-07,5.23598775598299E-14,-3.60911334838117E-40,2.76425772861111E-41,5.23598775598299E-14,-1.85775742897702E-30,5.23598775598299E-14,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_Virtual_Point.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/middle_Virtual_Point.STL,,middle_Virtual_Point-1,middle_Virtual_Point-zb,,middle_Virtual_Point-none,fixed,-0.015429,0,0.023943,0,0,0,middle_distal,0,0,0,,,,,,,,,,,,
ring_proximal,-0.00161802177937932,-2.08220506989678E-05,0.0212342176491597,0,0,0,0.00477953283061717,5.43923248642547E-07,-8.48911319307107E-11,2.46894777187068E-08,5.41640125900586E-07,-2.52181318799242E-10,1.76501745957818E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/ring_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/ring_proximal.STL,,ring_proximal-1,ring_proximal-zb,ring_proximal-z,ring_mcp_pitch,revolute,0.0001598,0.013573,0.11972,0,0,0,hand_base_link,0,1,0,100,1,0,1,,,,,,,,
ring_middle,0.000940447905390568,-1.66667501774048E-05,0.013421630768871,0,0,0,0.00270775337558511,2.25767885628129E-07,4.61314413767225E-12,2.32214874086729E-09,1.61875512518121E-07,-9.05905844323353E-12,1.17700101184182E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/ring_middle.STL,0,0,0,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/ring_middle.STL,,ring_middle-1,ring_middle-zb,ring_middle-z,ring_pip,revolute,-0.0039295,0,0.03983,0,0,0,ring_proximal,0,1,0,100,1,0,1,,,,,,,,
ring_distal,-0.00679186135685795,-3.10514206139905E-05,0.0056558951654784,0,0,0,0.00258259191907092,1.365300193362E-07,9.44469493284984E-11,3.84709877030533E-08,1.36471656656412E-07,-3.22660701215699E-10,9.47138987606997E-08,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/ring_distal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/ring_distal.STL,,ring_distal-2,ring_distal-zb,ring_distal-z,ring_dip,revolute,0.0060129,0,0.026442,0,0,0,ring_middle,0,1,0,100,1,0,1,,,,,,,,
ring_Virtual_Point,5.55111512312578E-16,1.73472347597681E-18,5.55111512312578E-17,0,0,0,5.23598775598299E-07,5.23598775598299E-14,-9.51609985897613E-36,-2.06849307477768E-35,5.23598775598299E-14,1.85037170827187E-30,5.23598775598299E-14,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/ring_Virtual_Point.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/ring_Virtual_Point.STL,,ring_Virtual_Point-1,ring_Virtual_Point-zb,,ring_Virtual_Point-none,fixed,-0.01334,0,0.025166,0,0,0,ring_distal,0,0,0,,,,,,,,,,,,
pinky_proximal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/pinky_proximal.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/pinky_proximal.STL,,pinky_proximal-1,pinky_proximal-zb,pinky_proximal-z,pinky_mcp_pitch,revolute,0.0001598,0.03363,0.11272,0,0,0,hand_base_link,0,1,0,100,1,0,1,,,,,,,,
pinky_middle,0.000940340858988643,-1.6666852345866E-05,0.0134216382102795,0,0,0,0.00270775341133159,2.25767852098342E-07,4.61323165677339E-12,2.32301105485376E-09,1.61875515034515E-07,-9.06111359635607E-12,1.1770013929689E-07,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/pinky_middle.STL,0,0,0,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/pinky_middle.STL,,pinky_middle-1,pinky_middle-zb,pinky_middle-z,pinky_pip,revolute,-0.0039295,0,0.03983,0,0,0,pinky_proximal,0,1,0,100,1,0,1,,,,,,,,
pinky_distal,-0.00679190138001771,-3.10516578322304E-05,0.00565584691673574,0,0,0,0.0025825918864764,1.36529472111252E-07,9.44467318754025E-11,3.84712826230557E-08,1.36471652160676E-07,-3.2265582569779E-10,9.47144453976082E-08,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/pinky_distal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/pinky_distal.STL,,pinky_distal-2,pinky_distal-zb,pinky_distal-z,pinky_dip,revolute,0.0060127,0,0.026442,0,0,0,pinky_middle,0,1,0,100,1,0,1,,,,,,,,
pinky_Virtual_Point,-1.73472347597681E-18,6.93889390390723E-18,2.77555756156289E-17,0,0,0,5.23598775598299E-07,5.23598775598299E-14,-1.60381510490316E-37,-1.49418255470987E-37,5.23598775598299E-14,-2.59800115709611E-31,5.23598775598299E-14,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/pinky_Virtual_Point.STL,1,1,1,1,0,0,0,0,0,0,package://O12-T2-l-URDF/meshes/pinky_Virtual_Point.STL,,pinky_Virtual_Point-1,pinky_Virtual_Point-zb,,pinky_Virtual_Point-none,fixed,-0.01334,0,0.025166,0,0,0,pinky_distal,0,0,0,,,,,,,,,,,,
